year,tile,ndvi_range,ndvi_freq,lstf_range,lstf_freq
2013,1-4,<0,30,50-60,0
2013,1-4,0.0 - 0.1,174,60-70,0
2013,1-4,0.1 - 0.2,1328,70-80,0
2013,1-4,0.2 - 0.3,42920,80-90,0
2013,1-4,0.3 - 0.4,56669,90-100,30
2013,1-4,0.5 - 0.6,8719,100-110,8275
2013,1-4,0.6 - 0.7,384,110-120,51486
2013,1-4,0.7 - 0.8,0,120-130,49540
2013,1-4,0.8 - 0.9,0,130-140,893
2013,1-4,0.9 - 1.0,0,140-150,0
2013,1-5,<0,1624,50-60,0
2013,1-5,0.0 - 0.1,572,60-70,0
2013,1-5,0.1 - 0.2,1486,70-80,0
2013,1-5,0.2 - 0.3,13727,80-90,430
2013,1-5,0.3 - 0.4,65132,90-100,2859
2013,1-5,0.5 - 0.6,25177,100-110,18378
2013,1-5,0.6 - 0.7,1580,110-120,64889
2013,1-5,0.7 - 0.8,31,120-130,23542
2013,1-5,0.8 - 0.9,129,130-140,126
2013,1-5,0.9 - 1.0,766,140-150,0
2013,1-6,<0,462,50-60,0
2013,1-6,0.0 - 0.1,1069,60-70,0
2013,1-6,0.1 - 0.2,2010,70-80,0
2013,1-6,0.2 - 0.3,27523,80-90,10
2013,1-6,0.3 - 0.4,62523,90-100,1090
2013,1-6,0.5 - 0.6,15864,100-110,29086
2013,1-6,0.6 - 0.7,647,110-120,65391
2013,1-6,0.7 - 0.8,9,120-130,14528
2013,1-6,0.8 - 0.9,21,130-140,119
2013,1-6,0.9 - 1.0,96,140-150,0
2013,2-0,<0,0,50-60,0
2013,2-0,0.0 - 0.1,3,60-70,0
2013,2-0,0.1 - 0.2,3569,70-80,0
2013,2-0,0.2 - 0.3,68441,80-90,0
2013,2-0,0.3 - 0.4,35978,90-100,184
2013,2-0,0.5 - 0.6,1939,100-110,40908
2013,2-0,0.6 - 0.7,261,110-120,61507
2013,2-0,0.7 - 0.8,33,120-130,7625
2013,2-0,0.8 - 0.9,0,130-140,0
2013,2-0,0.9 - 1.0,0,140-150,0
2013,2-1,<0,0,50-60,0
2013,2-1,0.0 - 0.1,20,60-70,0
2013,2-1,0.1 - 0.2,2957,70-80,0
2013,2-1,0.2 - 0.3,56223,80-90,0
2013,2-1,0.3 - 0.4,47934,90-100,4
2013,2-1,0.5 - 0.6,3005,100-110,18439
2013,2-1,0.6 - 0.7,83,110-120,75301
2013,2-1,0.7 - 0.8,2,120-130,16464
2013,2-1,0.8 - 0.9,0,130-140,16
2013,2-1,0.9 - 1.0,0,140-150,0
2013,2-2,<0,0,50-60,0
2013,2-2,0.0 - 0.1,5,60-70,0
2013,2-2,0.1 - 0.2,1621,70-80,0
2013,2-2,0.2 - 0.3,34183,80-90,0
2013,2-2,0.3 - 0.4,62225,90-100,2
2013,2-2,0.5 - 0.6,12026,100-110,14444
2013,2-2,0.6 - 0.7,163,110-120,86372
2013,2-2,0.7 - 0.8,1,120-130,9403
2013,2-2,0.8 - 0.9,0,130-140,3
2013,2-2,0.9 - 1.0,0,140-150,0
2013,2-3,<0,7,50-60,0
2013,2-3,0.0 - 0.1,182,60-70,0
2013,2-3,0.1 - 0.2,5109,70-80,0
2013,2-3,0.2 - 0.3,41876,80-90,0
2013,2-3,0.3 - 0.4,50401,90-100,11
2013,2-3,0.5 - 0.6,12013,100-110,11741
2013,2-3,0.6 - 0.7,620,110-120,67861
2013,2-3,0.7 - 0.8,16,120-130,30398
2013,2-3,0.8 - 0.9,0,130-140,213
2013,2-3,0.9 - 1.0,0,140-150,0
2013,2-4,<0,3,50-60,0
2013,2-4,0.0 - 0.1,120,60-70,0
2013,2-4,0.1 - 0.2,7893,70-80,0
2013,2-4,0.2 - 0.3,35353,80-90,0
2013,2-4,0.3 - 0.4,47426,90-100,1
2013,2-4,0.5 - 0.6,18588,100-110,13141
2013,2-4,0.6 - 0.7,822,110-120,59556
2013,2-4,0.7 - 0.8,19,120-130,28034
2013,2-4,0.8 - 0.9,0,130-140,603
2013,2-4,0.9 - 1.0,0,140-150,45
2013,2-5,<0,5,50-60,0
2013,2-5,0.0 - 0.1,53,60-70,0
2013,2-5,0.1 - 0.2,1813,70-80,0
2013,2-5,0.2 - 0.3,40358,80-90,0
2013,2-5,0.3 - 0.4,57078,90-100,29
2013,2-5,0.5 - 0.6,10409,100-110,8857
2013,2-5,0.6 - 0.7,504,110-120,59670
2013,2-5,0.7 - 0.8,4,120-130,41016
2013,2-5,0.8 - 0.9,0,130-140,407
2013,2-5,0.9 - 1.0,0,140-150,0
2013,2-6,<0,19,50-60,0
2013,2-6,0.0 - 0.1,50,60-70,0
2013,2-6,0.1 - 0.2,975,70-80,0
2013,2-6,0.2 - 0.3,30362,80-90,0
2013,2-6,0.3 - 0.4,62684,90-100,392
2013,2-6,0.5 - 0.6,15492,100-110,21911
2013,2-6,0.6 - 0.7,624,110-120,72039
2013,2-6,0.7 - 0.8,2,120-130,15837
2013,2-6,0.8 - 0.9,8,130-140,45
2013,2-6,0.9 - 1.0,8,140-150,0
